id,log2FoldChange,pval,padj
0610005C13Rik,0.6468838204,1,1
0610007C21Rik,0.5123086803,0.0183551765,0.0585281921
0610007L01Rik,0.198177321,0.2389547299,0.4549880158
0610007N19Rik,0.0459447266,0.9182036567,1
0610007P08Rik,0.2959475312,0.0996593137,0.2328589917
0610007P14Rik,0.2444657869,0.1870285665,0.3801409872
0610007P22Rik,-0.609429832,0.0023003882,0.009948094
0610009B22Rik,0.6255917825,0.0125741706,0.0425073733
0610009D07Rik,-0.1761277841,0.3106613928,0.5451479525
0610009L18Rik,-0.7345345733,0.3104022611,0.544904515
0610009O20Rik,0.3099451613,0.0915099531,0.2182375268
0610010B08Rik,-0.9061649019,0.6805895919,0.8891423533
0610010F05Rik,-0.1210381622,0.5471742634,0.7850046392
0610010K14Rik,-0.3355493963,0.0694298575,0.1743473567
0610010O12Rik,-1.0504116371,0.0042950941,0.0170553631
0610011F06Rik,-0.4378526036,0.0433500361,0.1193445099
0610011L14Rik,-0.1959594525,0.2676909882,0.4935229609
0610012G03Rik,-0.8962555578,3.39180622018755E-06,2.84971402370597E-05
0610012H03Rik,NA,NA,NA
0610030E20Rik,0.4795798642,0.0118522857,0.0404970764
0610031J06Rik,0.7107412538,3.42540819231867E-05,0.0002351548
0610037L13Rik,-0.5188033145,0.0071910309,0.0267099873
0610037P05Rik,-0.1404245018,0.4594797912,0.7071565448
0610038B21Rik,0.0004673941,0.9106266807,1
0610038L08Rik,0.1090463405,1,1
0610039K10Rik,1.8013449709,0.7242094946,0.9196395961
0610040B10Rik,1.038773833,0.2890265478,0.5208477153
0610040F04Rik,Inf,1,1
0610040J01Rik,2.2821311102,0.3458719012,0.5883176313
0610043K17Rik,Inf,0.7655351889,0.9490516297
0910001L09Rik,0.0399523396,0.8742742002,1
1100001G20Rik,Inf,0.2148205592,0.4214906535
1110001A16Rik,-0.4045970618,0.1766432663,0.3639575391
1110001J03Rik,-0.8848811148,0.0003725656,0.0019920384
1110002B05Rik,-0.1210155455,0.4630584566,0.709954391
1110002L01Rik,-0.7993795516,0.0252918102,0.0763283388
1110002N22Rik,-0.2423149448,0.340518729,0.5820341008
1110003E01Rik,0.411237406,0.0225058688,0.0694570707
1110004E09Rik,-1.4207517787,1.42447462179957E-11,2.76373800775785E-10
1110004F10Rik,-0.4104328312,0.0104976832,0.0366406445
1110005A03Rik,0.2062667947,0.5824011918,0.8125538906
1110006O24Rik,-0.0787358965,0.8376191946,1
1110007C09Rik,-0.8152079309,0.0085620135,0.030933378
1110008F13Rik,-0.6044475893,0.0010177327,0.0048637269
1110008J03Rik,-0.3602672626,0.1463832138,0.3150923421
1110008L16Rik,-0.0838532479,0.7341282096,0.9278768846
1110008P14Rik,0.2722289736,0.2754886497,0.5033694279
1110012J17Rik,-1.0249168391,2.751506201311E-08,3.29835366809875E-07
1110012L19Rik,-0.1398644328,0.4918853889,0.7373776781
1110014N23Rik,0.0018002895,1,1
1110017D15Rik,0.0172498294,1,1
1110017F19Rik,0.1154587979,1,1
1110018G07Rik,0.6561492794,0.0003161321,0.0017142936
1110018J18Rik,1.0431258679,7.60720773585656E-06,0.000059766
1110019D14Rik,-0.7260205093,0.2424402361,0.4599942228
1110020A21Rik,0.7382460874,0.6656000106,0.8790461111
1110020G09Rik,0.4524635421,0.0224101447,0.0691989199
1110021J02Rik,0.5845372141,0.0036670153,0.0148634737
1110021L09Rik,-0.5486076962,0.0115651817,0.0397348698
1110028C15Rik,1.3966508836,1.74914164413433E-08,2.16159201025659E-07
1110031I02Rik,0.5081398811,0.0990200371,0.231698941
1110032A03Rik,0.7731714331,0.013664395,0.0455391527
1110032A04Rik,Inf,0.0057777845,0.0221498918
1110032F04Rik,Inf,1,1
1110034A24Rik,-0.3649354759,0.0490002957,0.1317764523
1110034B05Rik,0.4115662832,0.0742347987,0.1842206134
1110034G24Rik,-0.0880568444,0.8189480691,0.9892984756
1110035M17Rik,-0.5023503917,0.5964838599,0.8247903372
1110036E04Rik,Inf,1,1
1110037F02Rik,0.0563454777,0.7469410535,0.9368782714
1110038B12Rik,-1.1561126575,2.15236869796438E-13,5.23969009673712E-12
1110038D17Rik,0.0785102677,0.6981416459,0.9024706642
1110038F14Rik,-0.0566973509,0.7532152643,0.9402250337
1110046J04Rik,-0.983228982,0.0083131262,0.0301736992
1110049F12Rik,-0.2317598286,0.1785992768,0.3672394221
1110050K14Rik,1.661203227,0.4024540854,0.652659031
1110051M20Rik,0.0946559392,0.6869649158,0.8940378269
1110054M08Rik,-0.0824672697,0.8152659498,0.9868616067
1110054O05Rik,-0.0443621166,0.777303641,0.9579193976
1110057K04Rik,-0.1939757014,0.2618254884,0.4855210513
1110058L19Rik,0.0959964545,0.7460342198,0.9362247882
1110059E24Rik,0.0766715095,0.6884037238,0.8951331325
1110059G10Rik,0.8942699657,0.0002961513,0.001619224
1110065P20Rik,-0.8870061138,0.0002529446,0.0014035241
1110067D22Rik,-0.8216068252,3.8618154116335E-07,3.8284087039204E-06
1190002F15Rik,0.3136948603,0.3600638544,0.6051522934
1190002H23Rik,4.0105413545,2.69130883944308E-09,3.76126820731923E-08
1190002N15Rik,0.5472337522,0.0088952072,0.0319291318
1190003J15Rik,Inf,0.0764182211,0.1883842556
1190005F20Rik,-0.3326811903,0.0778392971,0.1912330309
1190005I06Rik,-1.1014444276,0.0260995252,0.0782985756
1190007F08Rik,0.3365932075,0.2553600615,0.4775499845
1190007I07Rik,-0.2696414757,0.4023336434,0.6525846965
1200009I06Rik,0.857872022,0.0054711587,0.0211822562
1200011I18Rik,0.3792374396,0.1796111838,0.3687296902
1200011M11Rik,0.4655195338,0.0266774532,0.0798372946
1200014J11Rik,-0.1171784321,0.4867228955,0.7320646228
1200016B10Rik,0.467900588,0.0306289521,0.0897259181
1300001I01Rik,-0.9311929064,9.10956549833762E-09,1.17386379997319E-07
1300002E11Rik,0.6811128594,0.0605986532,0.1559417439
1300010F03Rik,-0.3956622242,0.0345092876,0.0991997748
1300014I06Rik,1.0046666303,0.0007054014,0.0035229081
1300017J02Rik,0.6685106978,1,1
1300018I17Rik,-0.3712578312,0.0526503529,0.1396705744
1300018J18Rik,-0.2743626855,0.167076125,0.3491415741
1500001M20Rik,-0.6547032861,0.0012377917,0.0057819672
1500002O10Rik,3.881385537,0.047138719,0.1276689111
1500002O20Rik,-0.3745990626,0.0418357179,0.1159682537
1500003O03Rik,0.3018848634,0.0699580723,0.1753797962
1500004A13Rik,0.3249874409,0.3762079244,0.6232665979
1500009L16Rik,1.7093648767,0.0096197792,0.0340532596
1500010J02Rik,0.2237630238,0.2261127532,0.4378101179
1500011B03Rik,-0.1037389688,0.6798841501,0.8883557722
1500011H22Rik,-0.556426938,0.0006958674,0.0034823757
1500011K16Rik,-1.5160387868,0.0036733246,0.0148820292
